               event_id               |                                content                                 |            dominant_emotions_json            | intent_category 
--------------------------------------+------------------------------------------------------------------------+----------------------------------------------+-----------------
 01f14b1e-5a62-47f9-bcd8-772937e1274f | Should I take the new job offer from Google or stay at my current comp | ["nervousness","worry"]                      | seek_advice
 02dd91d5-d199-4b12-a898-9c35a334895b | Paid off student loans! 10 years of payments finally done.             | ["joy","excitement","pride"]                 | share_news
 07f3e907-608e-4b72-b529-80a69df9dba9 | Team standup meeting with John, Lisa, and Mike. Discussed Q2 roadmap p | ["neutral"]                                  | share_news
 1324dff3-04e6-4284-8d87-4d37fc7c1a23 | Yoga class with instructor Maria. Worked on flexibility and breathing. | ["neutral"]                                  | log_memory
 1882435c-4fee-4c77-a41e-389265889861 | Remind me to call Mom tomorrow at 3pm for her birthday.                | ["love","caring"]                            | set_reminder
 1a7e9710-ce06-4c7b-ad67-bfa37bd6eb3b | Need to remember to submit the quarterly report by Friday at 5pm.      | ["neutral"]                                  | set_reminder
 1c4a891d-eb10-4051-8cf4-02a18ede704b | Code review session with Mike. Fixed critical bug in authentication mo | ["relief"]                                   | share_news
 1e6ddf1c-a551-4ec5-a2e1-bae5f026dc1c | Had coffee with Rachel at Starbucks. She mentioned her new position at | ["neutral"]                                  | share_news
 2332c2a1-d0d5-45d9-b8bb-9b66f2b2363b | Met Rachel for coffee at the Starbucks downtown. Talked about her Goog | ["neutral"]                                  | share_news
 2c9ea3d3-6303-4e7a-804a-c4f4304e9dc9 | The key insight from the parenting book is that quality time matters m | ["neutral"]                                  | reflect
 39761e92-c5d9-458f-b6bf-e4a5434d07f7 | Really anxious about the presentation tomorrow. What if I mess up?     | ["fear","nervousness","worry"]               | express_feeling
 3c3c74fb-32b4-424d-ad1c-922208223571 | I'm feeling so grateful for my family today. They always support me.   | ["love","gratitude","contentment"]           | express_feeling
 43d249fe-6f52-48fc-9e8b-317e4382538d | Movie night watching Inception with roommate Kevin. Still confused abo | ["sadness","disappointment","bittersweet"]   | express_feeling
 47516a61-9264-494a-befe-b599e5a7eb8d | Doctor appointment with Dr. Smith for annual checkup. Blood pressure 1 | ["neutral"]                                  | log_memory
 4769eafe-9222-419d-8c2e-cd395a8c1825 | Remind me next Monday to schedule the dentist appointment.             | ["neutral"]                                  | set_reminder
