config,lambda,age_h,recency_factor,score_mean,score_p50,CRITICAL_mean,HIGH_mean,MEDIUM_HIGH_mean,MEDIUM_mean,LOW_MEDIUM_mean,LOW_mean,d_CRIT_HIGH,d_HIGH_MHIGH,d_MHIGH_MED,d_MED_LMED,d_LMED_LOW,avg_cohens_d,monotonic,fp_rate,fn_rate
A_balanced,0.005,1,0.9950,0.4076,0.3826,0.5636,0.4313,0.5286,0.4101,0.4236,0.1799,1.0083,-0.5019,0.5284,-0.0564,1.2795,0.4516,False,0.0067,0.2751
A_balanced,0.005,6,0.9704,0.4043,0.3785,0.5597,0.4278,0.5248,0.4068,0.4201,0.1770,1.0091,-0.4997,0.5245,-0.0554,1.2757,0.4509,False,0.0062,0.2790
A_balanced,0.005,24,0.8869,0.3928,0.3642,0.5464,0.4159,0.5119,0.3956,0.4081,0.1671,1.0122,-0.4919,0.5115,-0.0518,1.2632,0.4486,False,0.0056,0.2854
A_balanced,0.005,72,0.6977,0.3666,0.3324,0.5161,0.3890,0.4822,0.3698,0.3802,0.1447,1.0200,-0.4729,0.4840,-0.0426,1.2365,0.4450,False,0.0036,0.3146
A_balanced,0.005,168,0.4317,0.3286,0.2869,0.4736,0.3511,0.4384,0.3324,0.3389,0.1131,1.0341,-0.4417,0.4491,-0.0267,1.2041,0.4437,False,0.0016,0.3931
A_balanced,0.01,1,0.9900,0.4069,0.3818,0.5628,0.4306,0.5278,0.4094,0.4229,0.1794,1.0084,-0.5015,0.5276,-0.0562,1.2787,0.4514,False,0.0067,0.2753
A_balanced,0.01,6,0.9418,0.4004,0.3735,0.5551,0.4237,0.5204,0.4030,0.4160,0.1736,1.0101,-0.4970,0.5200,-0.0542,1.2714,0.4501,False,0.0061,0.2814
A_balanced,0.01,24,0.7866,0.3790,0.3473,0.5303,0.4017,0.4963,0.3820,0.3935,0.1553,1.0162,-0.4821,0.4966,-0.0472,1.2485,0.4464,False,0.0046,0.2965
A_balanced,0.01,72,0.4868,0.3366,0.2963,0.4824,0.3590,0.4477,0.3403,0.3477,0.1197,1.0309,-0.4487,0.4559,-0.0304,1.2100,0.4435,False,0.0020,0.3781
A_balanced,0.01,168,0.1864,0.2917,0.2448,0.4342,0.3160,0.3946,0.2960,0.2977,0.0840,1.0519,-0.4046,0.4218,-0.0073,1.1865,0.4497,False,0.0008,0.4655
A_balanced,0.02,1,0.9802,0.4056,0.3801,0.5613,0.4292,0.5263,0.4081,0.4215,0.1782,1.0088,-0.5006,0.5261,-0.0558,1.2772,0.4511,False,0.0065,0.2779
A_balanced,0.02,6,0.8869,0.3928,0.3642,0.5464,0.4159,0.5119,0.3956,0.4081,0.1671,1.0122,-0.4919,0.5115,-0.0518,1.2632,0.4486,False,0.0056,0.2854
A_balanced,0.02,24,0.6188,0.3555,0.3189,0.5035,0.3778,0.4695,0.3589,0.3682,0.1354,1.0238,-0.4643,0.4731,-0.0382,1.2262,0.4441,False,0.0029,0.3324
A_balanced,0.02,72,0.2369,0.2995,0.2534,0.4423,0.3232,0.4040,0.3037,0.3064,0.0900,1.0480,-0.4132,0.4269,-0.0114,1.1891,0.4479,False,0.0009,0.4483
A_balanced,0.02,168,0.0347,0.2678,0.2194,0.4098,0.2943,0.3657,0.2721,0.2711,0.0660,1.0642,-0.3764,0.4089,0.0045,1.1805,0.4563,False,0.0006,0.5279
A_balanced,0.05,1,0.9512,0.4017,0.3751,0.5566,0.4251,0.5218,0.4042,0.4174,0.1748,1.0098,-0.4979,0.5215,-0.0546,1.2728,0.4503,False,0.0061,0.2809
A_balanced,0.05,6,0.7408,0.3726,0.3396,0.5230,0.3952,0.4890,0.3758,0.3867,0.1498,1.0181,-0.4775,0.4900,-0.0449,1.2422,0.4456,False,0.0042,0.3047
A_balanced,0.05,24,0.3012,0.3092,0.2642,0.4526,0.3324,0.4156,0.3133,0.3173,0.0976,1.0432,-0.4233,0.4338,-0.0166,1.1932,0.4461,False,0.0012,0.4293
A_balanced,0.05,72,0.0273,0.2666,0.2182,0.4086,0.2932,0.3642,0.2709,0.2698,0.0651,1.0648,-0.3749,0.4084,0.0050,1.1802,0.4567,False,0.0006,0.5305
A_balanced,0.05,168,0.0002,0.2623,0.2138,0.4043,0.2893,0.3590,0.2666,0.2650,0.0619,1.0671,-0.3695,0.4064,0.0069,1.1792,0.4580,False,0.0006,0.5415
B_emotion_heavy,0.005,1,0.9950,0.4343,0.4157,0.5787,0.4612,0.5489,0.4417,0.4528,0.1750,0.9365,-0.4662,0.4858,-0.0467,1.4710,0.4761,False,0.0049,0.2638
B_emotion_heavy,0.005,6,0.9704,0.4310,0.4115,0.5748,0.4577,0.5451,0.4384,0.4494,0.1721,0.9371,-0.4639,0.4819,-0.0461,1.4666,0.4751,False,0.0047,0.2659
B_emotion_heavy,0.005,24,0.8869,0.4196,0.3974,0.5614,0.4459,0.5322,0.4273,0.4378,0.1622,0.9392,-0.4559,0.4687,-0.0438,1.4520,0.4720,False,0.0041,0.2714
B_emotion_heavy,0.005,72,0.6977,0.3937,0.3652,0.5312,0.4190,0.5025,0.4019,0.4111,0.1398,0.9450,-0.4366,0.4397,-0.0375,1.4199,0.4661,False,0.0026,0.2805
B_emotion_heavy,0.005,168,0.4317,0.3565,0.3196,0.4886,0.3811,0.4595,0.3654,0.3721,0.1082,0.9558,-0.4061,0.4014,-0.0270,1.3776,0.4603,False,0.0013,0.3115
B_emotion_heavy,0.01,1,0.9900,0.4336,0.4149,0.5779,0.4605,0.5482,0.4410,0.4521,0.1744,0.9366,-0.4657,0.4850,-0.0466,1.4701,0.4759,False,0.0048,0.2640
B_emotion_heavy,0.01,6,0.9418,0.4271,0.4066,0.5702,0.4537,0.5407,0.4346,0.4455,0.1687,0.9378,-0.4612,0.4773,-0.0454,1.4615,0.4740,False,0.0045,0.2681
B_emotion_heavy,0.01,24,0.7866,0.4059,0.3803,0.5454,0.4317,0.5165,0.4139,0.4237,0.1503,0.9421,-0.4459,0.4532,-0.0406,1.4349,0.4687,False,0.0033,0.2759
B_emotion_heavy,0.01,72,0.4868,0.3643,0.3289,0.4974,0.3890,0.4686,0.3731,0.3803,0.1147,0.9531,-0.4128,0.4091,-0.0294,1.3859,0.4612,False,0.0016,0.3032
B_emotion_heavy,0.01,168,0.1864,0.3211,0.2786,0.4492,0.3461,0.4179,0.3306,0.3343,0.0790,0.9709,-0.3727,0.3685,-0.0146,1.3442,0.4592,False,0.0007,0.3735
